Full Name Coin,Short Name Coin,Coin`s link,Rank,Price,Min Price 24h,Max Price 24h,Volume 24h,Caritalization
Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,1,"54,318.37 $","52,712.85 $","56,327.97 $","60,354,218,224 $","1,015,106,789,856 $"
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,2,"2,464.31 $","2,238.37 $","2,495.23 $","43,490,550,320 $","284,799,760,256 $"
Binance Coin,BNB,https://coinmarketcap.com/currencies/binance-coin/,3,556.80 $,533.21 $,607.17 $,"8,001,468,833 $","85,430,964,680 $"
XRP,XRP,https://coinmarketcap.com/currencies/xrp/,4,1.32 $,1.27 $,1.43 $,"12,357,107,726 $","59,785,851,666 $"
Tether,USDT,https://coinmarketcap.com/currencies/tether/,5,1.00 $,0.9998 $,1.00 $,"136,973,652,408 $","49,327,273,832 $"
Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,6,1.22 $,1.18 $,1.28 $,"4,104,484,217 $","38,922,053,403 $"
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,7,0.2814 $,0.2714 $,0.3327 $,"10,577,252,959 $","36,383,069,407 $"
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,8,34.56 $,32.89 $,36.26 $,"3,210,599,673 $","32,207,321,588 $"
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,9,36.38 $,30.56 $,37.24 $,"36,383,493,925 $","19,042,591,696 $"
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,10,263.09 $,251.68 $,276.31 $,"7,578,186,158 $","17,561,981,166 $"
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,11,924.94 $,888.77 $,986.48 $,"6,082,152,189 $","17,310,563,960 $"
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,12,36.88 $,35.62 $,39.15 $,"2,166,876,369 $","15,454,706,853 $"
VeChain,VET,https://coinmarketcap.com/currencies/vechain/,13,0.2233 $,0.2162 $,0.2454 $,"2,727,587,653 $","14,359,466,663 $"
USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,14,1.00 $,0.9998 $,1.00 $,"2,576,774,572 $","11,307,592,806 $"
Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,15,0.4867 $,0.4781 $,0.5163 $,"1,441,064,731 $","11,154,779,091 $"
THETA,THETA,https://coinmarketcap.com/currencies/theta/,16,11.06 $,10.79 $,11.94 $,"436,066,908 $","11,060,242,779 $"
Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,17,148.79 $,146.05 $,158.17 $,"1,698,598,578 $","10,066,944,589 $"
Solana,SOL,https://coinmarketcap.com/currencies/solana/,18,36.63 $,30.17 $,37.87 $,"1,004,525,121 $","9,890,199,774 $"
TRON,TRX,https://coinmarketcap.com/currencies/tron/,19,0.1226 $,0.1193 $,0.1333 $,"3,084,910,917 $","8,784,712,980 $"
Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,20,"54,400.47 $","52,892.79 $","56,431.10 $","268,878,437 $","8,396,006,768 $"
Monero,XMR,https://coinmarketcap.com/currencies/monero/,21,382.46 $,368.68 $,416.44 $,"1,148,697,928 $","6,843,088,107 $"
Neo,NEO,https://coinmarketcap.com/currencies/neo/,22,96.29 $,92.53 $,106.11 $,"2,154,572,065 $","6,792,130,408 $"
EOS,EOS,https://coinmarketcap.com/currencies/eos/,23,6.39 $,6.17 $,6.78 $,"3,289,938,081 $","6,090,228,648 $"
Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/,24,2.42 $,2.35 $,2.53 $,"78,814,231 $","5,957,147,896 $"
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/,25,2.09 $,2.00 $,2.29 $,"265,008,867 $","5,814,271,432 $"
Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,26,300.27 $,290.91 $,319.57 $,"1,706,514,206 $","5,618,733,224 $"
Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd/,27,0.9999 $,0.9998 $,1.00 $,"8,321,754,428 $","5,402,473,175 $"
Terra,LUNA,https://coinmarketcap.com/currencies/terra-luna/,28,13.87 $,12.98 $,14.43 $,"474,714,557 $","5,235,761,947 $"
BitTorrent,BTT,https://coinmarketcap.com/currencies/bittorrent/,29,0.007504 $,0.007313 $,0.007943 $,"805,332,575 $","4,952,152,408 $"
Maker,MKR,https://coinmarketcap.com/currencies/maker/,30,"4,927.51 $","3,376.40 $","4,943.66 $","4,954,993,449 $","4,904,051,730 $"
FTX Token,FTT,https://coinmarketcap.com/currencies/ftx-token/,31,51.72 $,49.84 $,53.58 $,"241,254,406 $","4,879,267,228 $"
Crypto.com Coin,CRO,https://coinmarketcap.com/currencies/crypto-com-coin/,32,0.1882 $,0.1842 $,0.202 $,"102,214,711 $","4,754,477,868 $"
